store_id,store_name,store_location,store_region,store_size,opening_date
North_001,North Store 1,"North Region, Store #1",North,Small,2023-01-23 03:41:44.830641
South_002,South Store 2,"South Region, Store #2",South,Small,2023-10-28 03:41:44.830661
North_003,North Store 3,"North Region, Store #3",North,Large,2021-07-19 03:41:44.830672
North_004,North Store 4,"North Region, Store #4",North,Large,2022-03-28 03:41:44.830682
North_005,North Store 5,"North Region, Store #5",North,Small,2024-01-30 03:41:44.830688
South_006,South Store 6,"South Region, Store #6",South,Small,2021-10-09 03:41:44.830694
Central_007,Central Store 7,"Central Region, Store #7",Central,Small,2021-06-16 03:41:44.830699
South_008,South Store 8,"South Region, Store #8",South,Large,2020-12-17 03:41:44.830708
Central_009,Central Store 9,"Central Region, Store #9",Central,Medium,2023-05-15 03:41:44.830719
West_010,West Store 10,"West Region, Store #10",West,Large,2023-01-17 03:41:44.830725
North_011,North Store 11,"North Region, Store #11",North,Small,2020-09-09 03:41:44.830731
West_012,West Store 12,"West Region, Store #12",West,Medium,2023-01-17 03:41:44.830735
South_013,South Store 13,"South Region, Store #13",South,Small,2022-09-19 03:41:44.830740
North_014,North Store 14,"North Region, Store #14",North,Small,2022-06-22 03:41:44.830745
North_015,North Store 15,"North Region, Store #15",North,Medium,2022-09-04 03:41:44.830750
Central_016,Central Store 16,"Central Region, Store #16",Central,Medium,2024-05-12 03:41:44.830755
West_017,West Store 17,"West Region, Store #17",West,Large,2023-11-27 03:41:44.830760
West_018,West Store 18,"West Region, Store #18",West,Small,2021-07-05 03:41:44.830770
East_019,East Store 19,"East Region, Store #19",East,Large,2021-02-19 03:41:44.830774
East_020,East Store 20,"East Region, Store #20",East,Large,2023-07-12 03:41:44.830779
North_021,North Store 21,"North Region, Store #21",North,Small,2020-11-23 03:41:44.830784
South_022,South Store 22,"South Region, Store #22",South,Medium,2024-02-27 03:41:44.830788
South_023,South Store 23,"South Region, Store #23",South,Small,2022-06-22 03:41:44.830793
East_024,East Store 24,"East Region, Store #24",East,Medium,2021-01-15 03:41:44.830798
East_025,East Store 25,"East Region, Store #25",East,Small,2022-07-12 03:41:44.830803
East_026,East Store 26,"East Region, Store #26",East,Small,2020-11-05 03:41:44.830807
East_027,East Store 27,"East Region, Store #27",East,Large,2020-10-09 03:41:44.830812
North_028,North Store 28,"North Region, Store #28",North,Large,2021-01-16 03:41:44.830817
South_029,South Store 29,"South Region, Store #29",South,Large,2023-03-26 03:41:44.830822
South_030,South Store 30,"South Region, Store #30",South,Medium,2022-06-23 03:41:44.830827
East_031,East Store 31,"East Region, Store #31",East,Large,2020-09-29 03:41:44.830847
Central_032,Central Store 32,"Central Region, Store #32",Central,Small,2020-10-06 03:41:44.830852
East_033,East Store 33,"East Region, Store #33",East,Small,2023-04-27 03:41:44.830858
North_034,North Store 34,"North Region, Store #34",North,Medium,2022-05-10 03:41:44.830863
East_035,East Store 35,"East Region, Store #35",East,Small,2023-06-03 03:41:44.830868
Central_036,Central Store 36,"Central Region, Store #36",Central,Large,2022-11-03 03:41:44.830873
South_037,South Store 37,"South Region, Store #37",South,Large,2021-10-21 03:41:44.830878
West_038,West Store 38,"West Region, Store #38",West,Large,2022-01-12 03:41:44.830887
South_039,South Store 39,"South Region, Store #39",South,Medium,2023-10-28 03:41:44.830891
South_040,South Store 40,"South Region, Store #40",South,Large,2021-06-16 03:41:44.830894
Central_041,Central Store 41,"Central Region, Store #41",Central,Medium,2021-04-29 03:41:44.830897
West_042,West Store 42,"West Region, Store #42",West,Large,2022-05-14 03:41:44.830900
East_043,East Store 43,"East Region, Store #43",East,Small,2023-10-30 03:41:44.830903
Central_044,Central Store 44,"Central Region, Store #44",Central,Medium,2024-02-04 03:41:44.830907
North_045,North Store 45,"North Region, Store #45",North,Small,2023-09-30 03:41:44.830910
South_046,South Store 46,"South Region, Store #46",South,Large,2022-03-28 03:41:44.830913
Central_047,Central Store 47,"Central Region, Store #47",Central,Small,2022-06-12 03:41:44.830916
West_048,West Store 48,"West Region, Store #48",West,Large,2021-12-24 03:41:44.830919
Central_049,Central Store 49,"Central Region, Store #49",Central,Medium,2021-07-02 03:41:44.830922
North_050,North Store 50,"North Region, Store #50",North,Large,2023-12-18 03:41:44.830925
Central_051,Central Store 51,"Central Region, Store #51",Central,Medium,2021-01-04 03:41:44.830928
East_052,East Store 52,"East Region, Store #52",East,Small,2022-12-16 03:41:44.830931
West_053,West Store 53,"West Region, Store #53",West,Small,2022-01-22 03:41:44.830934
North_054,North Store 54,"North Region, Store #54",North,Large,2023-02-16 03:41:44.830938
Central_055,Central Store 55,"Central Region, Store #55",Central,Small,2021-10-04 03:41:44.830941
North_056,North Store 56,"North Region, Store #56",North,Large,2022-12-06 03:41:44.830944
Central_057,Central Store 57,"Central Region, Store #57",Central,Large,2023-06-28 03:41:44.830949
South_058,South Store 58,"South Region, Store #58",South,Medium,2023-09-13 03:41:44.830952
Central_059,Central Store 59,"Central Region, Store #59",Central,Large,2024-08-07 03:41:44.830956
Central_060,Central Store 60,"Central Region, Store #60",Central,Medium,2021-11-12 03:41:44.830959
North_061,North Store 61,"North Region, Store #61",North,Small,2022-07-27 03:41:44.830962
East_062,East Store 62,"East Region, Store #62",East,Small,2024-04-12 03:41:44.830968
South_063,South Store 63,"South Region, Store #63",South,Large,2024-02-29 03:41:44.830972
North_064,North Store 64,"North Region, Store #64",North,Large,2021-11-17 03:41:44.830975
North_065,North Store 65,"North Region, Store #65",North,Large,2023-11-25 03:41:44.830978
South_066,South Store 66,"South Region, Store #66",South,Large,2021-12-09 03:41:44.830983
Central_067,Central Store 67,"Central Region, Store #67",Central,Small,2023-02-13 03:41:44.830986
Central_068,Central Store 68,"Central Region, Store #68",Central,Large,2022-03-26 03:41:44.830989
South_069,South Store 69,"South Region, Store #69",South,Large,2020-09-26 03:41:44.830992
South_070,South Store 70,"South Region, Store #70",South,Large,2022-11-09 03:41:44.830995
